geometry,zone_id
"POLYGON ((7.652574104878821 45.08313155635305, 7.658934478049622 45.08313155635305, 7.658934478049622 45.07863495453442, 7.652574104878821 45.07863495453442, 7.652574104878821 45.08313155635305))",475
"POLYGON ((7.639853358537217 45.03816553816682, 7.646213731708019 45.03816553816682, 7.646213731708019 45.03366893634819, 7.639853358537217 45.03366893634819, 7.639853358537217 45.03816553816682))",403
"POLYGON ((7.665294851220424 45.08762815817167, 7.671655224391226 45.08762815817167, 7.671655224391226 45.08313155635305, 7.665294851220424 45.08313155635305, 7.665294851220424 45.08762815817167))",556
"POLYGON ((7.671655224391226 45.08762815817167, 7.678015597562028 45.08762815817167, 7.678015597562028 45.08313155635305, 7.671655224391226 45.08313155635305, 7.671655224391226 45.08762815817167))",597
"POLYGON ((7.671655224391226 45.05615194544131, 7.678015597562028 45.05615194544131, 7.678015597562028 45.05165534362268, 7.671655224391226 45.05165534362268, 7.671655224391226 45.05615194544131))",604
"POLYGON ((7.658934478049622 45.05165534362268, 7.665294851220424 45.05165534362268, 7.665294851220424 45.04715874180406, 7.658934478049622 45.04715874180406, 7.658934478049622 45.05165534362268))",523
"POLYGON ((7.697096717074433 45.10561456544616, 7.703457090245235 45.10561456544616, 7.703457090245235 45.10111796362754, 7.697096717074433 45.10111796362754, 7.697096717074433 45.10561456544616))",757
"POLYGON ((7.608051492683209 45.05615194544131, 7.61441186585401 45.05615194544131, 7.61441186585401 45.05165534362268, 7.608051492683209 45.05165534362268, 7.608051492683209 45.05615194544131))",194
"POLYGON ((7.633492985366416 45.06964175089718, 7.639853358537217 45.06964175089718, 7.639853358537217 45.06514514907855, 7.633492985366416 45.06514514907855, 7.633492985366416 45.06964175089718))",355
"POLYGON ((7.665294851220424 45.05165534362268, 7.671655224391226 45.05165534362268, 7.671655224391226 45.04715874180406, 7.665294851220424 45.04715874180406, 7.665294851220424 45.05165534362268))",564
"POLYGON ((7.684375970732829 45.09212475999029, 7.690736343903631 45.09212475999029, 7.690736343903631 45.08762815817167, 7.684375970732829 45.08762815817167, 7.684375970732829 45.09212475999029))",678
"POLYGON ((7.652574104878821 45.09212475999029, 7.658934478049622 45.09212475999029, 7.658934478049622 45.08762815817167, 7.652574104878821 45.08762815817167, 7.652574104878821 45.09212475999029))",473
